1,1,1,1,2,"Tipo de registro","1","1"
2,2,9,8,2,"Fecha del comprobante o fecha de oficialización","self.fecha(self.obj[1].fecha_cbte)","None"
3,10,11,2,2,"Tipo de comprobante","self.obj[1].tipocbte.cod","None"
4,12,12,1,1,"Controlador Fiscal","{True: 'S', False: 'N'}.get(self.obj[1].controlador)","None"
5,13,16,4,2,"Punto de venta","self.obj[1].punto_vta","None"
6,17,36,20,2,"N° de comprobante","self.obj[1].cbte_nro","None"
7,37,44,8,2,"Fecha de registración contable","self.fecha(self.obj[1].fecha_cbte)","None"
8,45,47,3,2,"Código de aduana","{False: str(), True: self.obj[1].aduana.cod}.get(bool(self.obj[1].aduana))","None"
9,48,51,4,3,"Código de destinación","{False: str(), True: self.obj[1].destinacion.cod}.get(bool(self.obj[1].destinacion))","None"
10,52,57,6,2,"Número de despacho","{False: str(), True: self.obj[1].despacho}.get(bool(self.obj[1].despacho))","None"
11,58,58,1,3,"Dígito verificador del número de despacho","{False: str(), True: self.obj[1].despacho_digito}.get(bool(self.obj[1].despacho_digito))","None"
12,59,60,2,2,"Código de documento identificatorio del vendedor","self.obj[1].vendedor.tipodoc.cod","None"
13,61,71,11,2,"N° de identificación del vendedor","self.obj[1].vendedor.nro_doc","None"
14,72,101,30,3,"Apellido y nombre o denominación del vendedor","self.obj[1].vendedor.nombre","None"
15,102,116,15,2,"Importe total de la operación","self.importe(self.obj[1].imp_total)","None"
16,117,131,15,2,"Importe total de conceptos que no integran el precio neto gravado","self.importe(self.obj[1].imp_tot_conc)","None"
17,132,146,15,2,"Importe neto gravado","self.importe(self.obj[1].imp_neto)","None"
18,147,150,4,2,"Alícuota de IVA","self.obj[1].iva.cod","None"
19,151,165,15,2,"Impuesto liquidado","self.importe(self.obj[1].impto_liq)","None"
20,166,180,15,2,"Importe de operaciones exentas","self.importe(self.obj[1].imp_op_ex)","None"
21,181,195,15,2,"Importe de percepciones o pagos a cuenta del impuesto al valor agregado","self.importe(self.obj[1].imp_cta_iva)","None"
22,196,210,15,2,"Importe de percepciones o pagos a cuenta de otros impuestos nacionales","self.importe(self.obj[1].imp_nac)","None"
23,211,225,15,2,"Importe de percepciones de Ingresos Brutos","self.importe(self.obj[1].imp_iibb)","None"
24,226,240,15,2,"Importe de percepciones de Impuestos Municipales","self.importe(self.obj[1].impto_perc_mun)","None"
25,241,255,15,2,"Importe de Impuestos Internos","self.importe(self.obj[1].imp_internos)","None"
26,256,257,2,2,"Tipo de responsable","self.obj[1].condicioniva.cod","None"
27,258,260,3,3,"Código de moneda","self.obj[1].moneda_id.cod","None"
28,261,270,10,2,"Tipo de cambio","self.numero(self.obj[1].moneda_ctz*100000)","None"
29,271,271,1,2,"Cantidad de alícuotas de IVA","self.obj[1].alicuotas","None"
30,272,272,1,1,"Código de operación","self.obj[1].operacion","None"
31,273,286,14,2,"CAI","self.obj[1].cai","None"
32,287,294,8,2,"Fecha de Vencimiento","self.fecha(self.obj[1].fecha_vto)","None"
33,295,369,75,3,"Información adicional","self.obj[1].obs_comerciales","None"
