1,1,1,1,2,"Tipo de registro","1","1"
2,2,9,8,2,"Fecha del comprobante","None","None"
3,10,11,2,2,"Tipo de comprobante","None","None"
4,12,12,1,1,"Controlador Fiscal","None","None"
5,13,16,4,2,"Punto de venta","None","None"
6,17,36,20,2,"N° de comprobante","None","None"
7,37,56,20,2,"N° de comprobante hasta","None","None"
8,57,58,2,2,"Código de documento identificatorio del comprador","None","None"
9,59,69,11,2,"N° de identificación del comprador","None","None"
10,70,99,30,3,"Apellido y nombre o denominación del comprador","None","None"
11,100,114,15,2,"Importe total de la operación","None","None"
12,115,129,15,2,"Importe total de conceptos que no integran el precio neto gravado","None","None"
13,130,144,15,2,"Importe neto gravado","None","None"
14,145,148,4,2,"Alícuota de IVA","None","None"
15,149,163,15,2,"Impuesto liquidado","None","None"
16,164,178,15,2,"Impuesto liquidado a RNI o percepción a no categorizados","None","None"
17,179,193,15,2,"Importe de operaciones exentas","None","None"
18,194,208,15,2,"Importe de percepciones o pagos a cuenta de impuestos nacionales","None","None"
19,209,223,15,2,"Importe de percepciones de Ingresos Brutos","None","None"
20,224,238,15,2,"Importe de percepciones de Impuestos Municipales","None","None"
21,239,253,15,2,"Importe de Impuestos Internos","None","None"
22,254,255,2,2,"Tipo de responsable","None","None"
23,256,258,3,3,"Código de moneda","None","None"
24,259,268,10,2,"Tipo de cambio","None","None"
25,269,269,1,2,"Cantidad de alícuotas de IVA","None","None"
26,270,270,1,1,"Código de operación","None","None"
27,271,284,14,2,"CAI","None","None"
28,285,292,8,2,"Fecha de Vencimiento","None","None"
29,293,300,8,3,"Fecha de anulación del comprobante","None","None"
30,301,375,75,3,"Información Adicional","None","None"
